symbol,index_code,first_seen_date,last_seen_date,inclusion_date,removed_date
300007,000852,2026-06-28,2026-06-28,2025-12-15,
300008,000852,2026-06-28,2026-06-28,,
300009,000852,2026-06-28,2026-06-28,2025-06-16,
300026,000852,2026-06-28,2026-06-28,,
300031,000852,2026-06-28,2026-06-28,2016-06-13,
300034,000852,2026-06-28,2026-06-28,2014-10-17,
300035,000852,2026-06-28,2026-06-28,2021-12-13,
300036,000852,2026-06-28,2026-06-28,2016-06-13,
300045,000852,2026-06-28,2026-06-28,,
300047,000852,2026-06-28,2026-06-28,2025-12-15,
300049,000852,2026-06-28,2026-06-28,,
300065,000852,2026-06-28,2026-06-28,2025-12-15,
300070,000852,2026-06-28,2026-06-28,2026-06-15,
300075,000852,2026-06-28,2026-06-28,,
300077,000852,2026-06-28,2026-06-28,2022-06-13,
300080,000852,2026-06-28,2026-06-28,,
300083,000852,2026-06-28,2026-06-28,2014-10-17,
300085,000852,2026-06-28,2026-06-28,,
300088,000852,2026-06-28,2026-06-28,,
300098,000852,2026-06-28,2026-06-28,2025-12-15,
300101,000852,2026-06-28,2026-06-28,,
300102,000852,2026-06-28,2026-06-28,,
300113,000852,2026-06-28,2026-06-28,2023-12-11,
300119,000852,2026-06-28,2026-06-28,2020-06-15,
300127,000852,2026-06-28,2026-06-28,2025-12-15,
300130,000852,2026-06-28,2026-06-28,2014-10-17,
300131,000852,2026-06-28,2026-06-28,2025-12-15,
300133,000852,2026-06-28,2026-06-28,2022-06-13,
300134,000852,2026-06-28,2026-06-28,2021-06-15,
300153,000852,2026-06-28,2026-06-28,2026-06-15,
300166,000852,2026-06-28,2026-06-28,2022-12-12,
300170,000852,2026-06-28,2026-06-28,,
300171,000852,2026-06-28,2026-06-28,,
300180,000852,2026-06-28,2026-06-28,2021-12-13,
300181,000852,2026-06-28,2026-06-28,,
300182,000852,2026-06-28,2026-06-28,2023-12-11,
300184,000852,2026-06-28,2026-06-28,,
300185,000852,2026-06-28,2026-06-28,2014-10-17,
300188,000852,2026-06-28,2026-06-28,2014-10-17,
300199,000852,2026-06-28,2026-06-28,2025-12-15,
300224,000852,2026-06-28,2026-06-28,2014-10-17,
300229,000852,2026-06-28,2026-06-28,2014-10-17,
300236,000852,2026-06-28,2026-06-28,2016-12-12,
300244,000852,2026-06-28,2026-06-28,,
300253,000852,2026-06-28,2026-06-28,,
300257,000852,2026-06-28,2026-06-28,,
300260,000852,2026-06-28,2026-06-28,2023-06-12,
300276,000852,2026-06-28,2026-06-28,,
300284,000852,2026-06-28,2026-06-28,2014-10-17,
300294,000852,2026-06-28,2026-06-28,2014-10-17,
300296,000852,2026-06-28,2026-06-28,,
300298,000852,2026-06-28,2026-06-28,2018-06-11,
300303,000852,2026-06-28,2026-06-28,2014-10-17,
300315,000852,2026-06-28,2026-06-28,2022-12-12,
300319,000852,2026-06-28,2026-06-28,2020-06-15,
300322,000852,2026-06-28,2026-06-28,2026-06-15,
300323,000852,2026-06-28,2026-06-28,2017-06-12,
300327,000852,2026-06-28,2026-06-28,2019-12-16,
300337,000852,2026-06-28,2026-06-28,,
300341,000852,2026-06-28,2026-06-28,2025-12-15,
300342,000852,2026-06-28,2026-06-28,2026-06-15,
300348,000852,2026-06-28,2026-06-28,2015-12-14,
300353,000852,2026-06-28,2026-06-28,2026-06-15,
300357,000852,2026-06-28,2026-06-28,,
300360,000852,2026-06-28,2026-06-28,2025-03-17,
300363,000852,2026-06-28,2026-06-28,,
300376,000852,2026-06-28,2026-06-28,2026-06-15,
300378,000852,2026-06-28,2026-06-28,2025-12-15,
300398,000852,2026-06-28,2026-06-28,2018-06-11,
300409,000852,2026-06-28,2026-06-28,2016-12-12,
300415,000852,2026-06-28,2026-06-28,2024-05-13,
300416,000852,2026-06-28,2026-06-28,2023-06-12,
300428,000852,2026-06-28,2026-06-28,2019-12-16,
300438,000852,2026-06-28,2026-06-28,,
300443,000852,2026-06-28,2026-06-28,2022-06-13,
300446,000852,2026-06-28,2026-06-28,,
300455,000852,2026-06-28,2026-06-28,2020-06-15,
300456,000852,2026-06-28,2026-06-28,2016-06-13,
300457,000852,2026-06-28,2026-06-28,2016-12-12,
300459,000852,2026-06-28,2026-06-28,2022-06-13,
300468,000852,2026-06-28,2026-06-28,,
300482,000852,2026-06-28,2026-06-28,2023-12-11,
300492,000852,2026-06-28,2026-06-28,,
300493,000852,2026-06-28,2026-06-28,2025-06-16,
300503,000852,2026-06-28,2026-06-28,2026-06-15,
300525,000852,2026-06-28,2026-06-28,2020-06-15,
300529,000852,2026-06-28,2026-06-28,2026-06-15,
300568,000852,2026-06-28,2026-06-28,,
300573,000852,2026-06-28,2026-06-28,2025-12-15,
300576,000852,2026-06-28,2026-06-28,,
300579,000852,2026-06-28,2026-06-28,2020-06-15,
300580,000852,2026-06-28,2026-06-28,,
300593,000852,2026-06-28,2026-06-28,,
300595,000852,2026-06-28,2026-06-28,,
300598,000852,2026-06-28,2026-06-28,2020-06-15,
300601,000852,2026-06-28,2026-06-28,2026-06-15,
300602,000852,2026-06-28,2026-06-28,2018-12-17,
300607,000852,2026-06-28,2026-06-28,2025-12-15,
300613,000852,2026-06-28,2026-06-28,2017-12-11,
300618,000852,2026-06-28,2026-06-28,2023-12-11,
300624,000852,2026-06-28,2026-06-28,2023-12-11,
300633,000852,2026-06-28,2026-06-28,2017-12-11,
300634,000852,2026-06-28,2026-06-28,2018-12-17,
300638,000852,2026-06-28,2026-06-28,2019-12-16,
300641,000852,2026-06-28,2026-06-28,2024-12-16,
300655,000852,2026-06-28,2026-06-28,,
300657,000852,2026-06-28,2026-06-28,2024-12-16,
300660,000852,2026-06-28,2026-06-28,,
300672,000852,2026-06-28,2026-06-28,2020-06-15,
300674,000852,2026-06-28,2026-06-28,,
300678,000852,2026-06-28,2026-06-28,,
300680,000852,2026-06-28,2026-06-28,2026-06-15,
300682,000852,2026-06-28,2026-06-28,2024-12-16,
300684,000852,2026-06-28,2026-06-28,2026-06-15,
300685,000852,2026-06-28,2026-06-28,,
300687,000852,2026-06-28,2026-06-28,,
300693,000852,2026-06-28,2026-06-28,2023-06-12,
300702,000852,2026-06-28,2026-06-28,2019-12-16,
300723,000852,2026-06-28,2026-06-28,2019-06-17,
300725,000852,2026-06-28,2026-06-28,2018-12-17,
300726,000852,2026-06-28,2026-06-28,2018-06-11,
300738,000852,2026-06-28,2026-06-28,2020-12-14,
300747,000852,2026-06-28,2026-06-28,2018-12-17,
300761,000852,2026-06-28,2026-06-28,2019-12-16,
300762,000852,2026-06-28,2026-06-28,2020-06-15,
300768,000852,2026-06-28,2026-06-28,2019-12-16,
300770,000852,2026-06-28,2026-06-28,2019-12-16,
300772,000852,2026-06-28,2026-06-28,2022-06-13,
300773,000852,2026-06-28,2026-06-28,2019-12-16,
300775,000852,2026-06-28,2026-06-28,2019-12-16,
300776,000852,2026-06-28,2026-06-28,2024-12-16,
300777,000852,2026-06-28,2026-06-28,2019-12-16,
300779,000852,2026-06-28,2026-06-28,2024-12-16,
300783,000852,2026-06-28,2026-06-28,2019-12-16,
300806,000852,2026-06-28,2026-06-28,2026-06-15,
300809,000852,2026-06-28,2026-06-28,2025-12-15,
300811,000852,2026-06-28,2026-06-28,2023-06-12,
300814,000852,2026-06-28,2026-06-28,2026-06-15,
300820,000852,2026-06-28,2026-06-28,2023-06-12,
300821,000852,2026-06-28,2026-06-28,,
300827,000852,2026-06-28,2026-06-28,2022-06-13,
300841,000852,2026-06-28,2026-06-28,,
300850,000852,2026-06-28,2026-06-28,,
300855,000852,2026-06-28,2026-06-28,2020-12-14,
300861,000852,2026-06-28,2026-06-28,2024-12-16,
300870,000852,2026-06-28,2026-06-28,,
300872,000852,2026-06-28,2026-06-28,2026-05-11,
300910,000852,2026-06-28,2026-06-28,2021-06-15,
300913,000852,2026-06-28,2026-06-28,2024-12-16,
300925,000852,2026-06-28,2026-06-28,,
300926,000852,2026-06-28,2026-06-28,2024-12-16,
300969,000852,2026-06-28,2026-06-28,2026-06-15,
300990,000852,2026-06-28,2026-06-28,2026-06-15,
301000,000852,2026-06-28,2026-06-28,2025-12-15,
301005,000852,2026-06-28,2026-06-28,2026-06-15,
301015,000852,2026-06-28,2026-06-28,2021-12-13,
301018,000852,2026-06-28,2026-06-28,2025-12-15,
301029,000852,2026-06-28,2026-06-28,2024-12-16,
301031,000852,2026-06-28,2026-06-28,2021-12-13,
301035,000852,2026-06-28,2026-06-28,,
301039,000852,2026-06-28,2026-06-28,2021-12-13,
301047,000852,2026-06-28,2026-06-28,2022-06-13,
301050,000852,2026-06-28,2026-06-28,2022-06-13,
301061,000852,2026-06-28,2026-06-28,,
301071,000852,2026-06-28,2026-06-28,2022-06-13,
301078,000852,2026-06-28,2026-06-28,2022-06-13,
301087,000852,2026-06-28,2026-06-28,,
301091,000852,2026-06-28,2026-06-28,2025-06-16,
301095,000852,2026-06-28,2026-06-28,2023-06-12,
301101,000852,2026-06-28,2026-06-28,2026-01-12,
301109,000852,2026-06-28,2026-06-28,,
301127,000852,2026-06-28,2026-06-28,2025-12-15,
301153,000852,2026-06-28,2026-06-28,2023-12-11,
301155,000852,2026-06-28,2026-06-28,2022-06-13,
301171,000852,2026-06-28,2026-06-28,2023-06-12,
301175,000852,2026-06-28,2026-06-28,2022-12-12,
301177,000852,2026-06-28,2026-06-28,2022-06-13,
301196,000852,2026-06-28,2026-06-28,2026-06-15,
301205,000852,2026-06-28,2026-06-28,2023-12-11,
301207,000852,2026-06-28,2026-06-28,2022-12-12,
301215,000852,2026-06-28,2026-06-28,2025-05-12,
301216,000852,2026-06-28,2026-06-28,,
301217,000852,2026-06-28,2026-06-28,2022-06-13,
301219,000852,2026-06-28,2026-06-28,2022-12-12,
301225,000852,2026-06-28,2026-06-28,2026-06-15,
301238,000852,2026-06-28,2026-06-28,2022-12-12,
301262,000852,2026-06-28,2026-06-28,2023-12-11,
301263,000852,2026-06-28,2026-06-28,2025-12-15,
301267,000852,2026-06-28,2026-06-28,,
301268,000852,2026-06-28,2026-06-28,2022-12-12,
301275,000852,2026-06-28,2026-06-28,,
301291,000852,2026-06-28,2026-06-28,2023-12-11,
301293,000852,2026-06-28,2026-06-28,2023-12-11,
301297,000852,2026-06-28,2026-06-28,2024-12-16,
301316,000852,2026-06-28,2026-06-28,2023-06-12,
301327,000852,2026-06-28,2026-06-28,2023-06-12,
301339,000852,2026-06-28,2026-06-28,,
301345,000852,2026-06-28,2026-06-28,2025-12-15,
301363,000852,2026-06-28,2026-06-28,2023-06-12,
301371,000852,2026-06-28,2026-06-28,,
301381,000852,2026-06-28,2026-06-28,2023-12-11,
301389,000852,2026-06-28,2026-06-28,2026-06-15,
301392,000852,2026-06-28,2026-06-28,,
301396,000852,2026-06-28,2026-06-28,,
301413,000852,2026-06-28,2026-06-28,2026-06-15,
301421,000852,2026-06-28,2026-06-28,,
301458,000852,2026-06-28,2026-06-28,,
301487,000852,2026-06-28,2026-06-28,,
301488,000852,2026-06-28,2026-06-28,,
